id,row,rack_no,parent_id,x,y,width,height
rack_A01,A,1,row_A,193,254,55,20
rack_A02,A,2,row_A,193,285,55,20
rack_A03,A,3,row_A,193,316,55,20
rack_A04,A,4,row_A,193,347,55,20
rack_A05,A,5,row_A,193,378,55,20
rack_A06,A,6,row_A,193,409,55,20
rack_A07,A,7,row_A,193,440,55,20
rack_A08,A,8,row_A,193,471,55,20
rack_A09,A,9,row_A,193,502,55,20
rack_A10,A,10,row_A,193,533,55,20
rack_A11,A,11,row_A,193,564,55,20
rack_A12,A,12,row_A,193,595,55,20
rack_A13,A,13,row_A,193,626,55,20
rack_A14,A,14,row_A,193,657,55,20
rack_A15,A,15,row_A,193,688,55,20
rack_A16,A,16,row_A,193,719,55,20
rack_A17,A,17,row_A,193,750,55,20
rack_B01,B,1,row_B,330,192,55,20
rack_B02,B,2,row_B,330,223,55,20
rack_B03,B,3,row_B,330,254,55,20
rack_B04,B,4,row_B,330,285,55,20
rack_B05,B,5,row_B,330,316,55,20
rack_B06,B,6,row_B,330,347,55,20
rack_B07,B,7,row_B,330,378,55,20
rack_B08,B,8,row_B,330,409,55,20
rack_B09,B,9,row_B,330,440,55,20
rack_B10,B,10,row_B,330,471,55,20
rack_B11,B,11,row_B,330,502,55,20
rack_B12,B,12,row_B,330,533,55,20
rack_B13,B,13,row_B,330,564,55,20
rack_B14,B,14,row_B,330,595,55,20
rack_B15,B,15,row_B,330,626,55,20
rack_B16,B,16,row_B,330,657,55,20
rack_B17,B,17,row_B,330,688,55,20
rack_B18,B,18,row_B,330,719,55,20
rack_B19,B,19,row_B,330,750,55,20
rack_C01,C,1,row_C,467,192,55,20
rack_C02,C,2,row_C,467,223,55,20
rack_C03,C,3,row_C,467,254,55,20
rack_C04,C,4,row_C,467,285,55,20
rack_C05,C,5,row_C,467,316,55,20
rack_C06,C,6,row_C,467,347,55,20
rack_C07,C,7,row_C,467,378,55,20
rack_C08,C,8,row_C,467,409,55,20
rack_C09,C,9,row_C,467,440,55,20
rack_C10,C,10,row_C,467,471,55,20
rack_C11,C,11,row_C,467,502,55,20
rack_C12,C,12,row_C,467,533,55,20
rack_C13,C,13,row_C,467,564,55,20
rack_C14,C,14,row_C,467,595,55,20
rack_C15,C,15,row_C,467,626,55,20
rack_C16,C,16,row_C,467,657,55,20
rack_C17,C,17,row_C,467,688,55,20
rack_C18,C,18,row_C,467,719,55,20
rack_C19,C,19,row_C,467,750,55,20
rack_D01,D,1,row_D,604,285,55,20
rack_D02,D,2,row_D,604,316,55,20
rack_D03,D,3,row_D,604,347,55,20
rack_D04,D,4,row_D,604,378,55,20
rack_D05,D,5,row_D,604,409,55,20
rack_D06,D,6,row_D,604,440,55,20
rack_D07,D,7,row_D,604,471,55,20
rack_D08,D,8,row_D,604,502,55,20
rack_D09,D,9,row_D,604,533,55,20
rack_D10,D,10,row_D,604,564,55,20
rack_D11,D,11,row_D,604,595,55,20
rack_D12,D,12,row_D,604,626,55,20
rack_D13,D,13,row_D,604,657,55,20
rack_D14,D,14,row_D,604,688,55,20
rack_D15,D,15,row_D,604,719,55,20
rack_D16,D,16,row_D,604,750,55,20
rack_E01,E,1,row_E,741,192,55,20
rack_E02,E,2,row_E,741,223,55,20
rack_E03,E,3,row_E,741,254,55,20
rack_E04,E,4,row_E,741,285,55,20
rack_E05,E,5,row_E,741,316,55,20
rack_E06,E,6,row_E,741,347,55,20
rack_E07,E,7,row_E,741,378,55,20
rack_E08,E,8,row_E,741,409,55,20
rack_E09,E,9,row_E,741,440,55,20
rack_E10,E,10,row_E,741,471,55,20
rack_E11,E,11,row_E,741,502,55,20
rack_E12,E,12,row_E,741,533,55,20
rack_E13,E,13,row_E,741,564,55,20
rack_E14,E,14,row_E,741,595,55,20
rack_E15,E,15,row_E,741,626,55,20
rack_E16,E,16,row_E,741,657,55,20
rack_E17,E,17,row_E,741,688,55,20
rack_E18,E,18,row_E,741,719,55,20
rack_E19,E,19,row_E,741,750,55,20
rack_F01,F,1,row_F,878,347,55,20
rack_F02,F,2,row_F,878,378,55,20
rack_F03,F,3,row_F,878,409,55,20
rack_F04,F,4,row_F,878,440,55,20
rack_F05,F,5,row_F,878,471,55,20
rack_F06,F,6,row_F,878,502,55,20
rack_F07,F,7,row_F,878,533,55,20
rack_F08,F,8,row_F,878,564,55,20
rack_F09,F,9,row_F,878,595,55,20
rack_F10,F,10,row_F,878,626,55,20
rack_F11,F,11,row_F,878,657,55,20
rack_F12,F,12,row_F,878,688,55,20
rack_F13,F,13,row_F,878,719,55,20
rack_F14,F,14,row_F,878,750,55,20
rack_G01,G,1,row_G,1015,192,55,20
rack_G02,G,2,row_G,1015,223,55,20
rack_G03,G,3,row_G,1015,254,55,20
rack_G04,G,4,row_G,1015,285,55,20
rack_G05,G,5,row_G,1015,316,55,20
rack_G06,G,6,row_G,1015,347,55,20
rack_G07,G,7,row_G,1015,378,55,20
rack_G08,G,8,row_G,1015,409,55,20
rack_G09,G,9,row_G,1015,440,55,20
rack_G10,G,10,row_G,1015,471,55,20
rack_G11,G,11,row_G,1015,502,55,20
rack_G12,G,12,row_G,1015,533,55,20
rack_G13,G,13,row_G,1015,564,55,20
rack_G14,G,14,row_G,1015,595,55,20
rack_G15,G,15,row_G,1015,626,55,20
rack_G16,G,16,row_G,1015,657,55,20
rack_G17,G,17,row_G,1015,688,55,20
rack_G18,G,18,row_G,1015,719,55,20
rack_G19,G,19,row_G,1015,750,55,20
rack_H01,H,1,row_H,1152,285,55,20
rack_H02,H,2,row_H,1152,316,55,20
rack_H03,H,3,row_H,1152,347,55,20
rack_H04,H,4,row_H,1152,378,55,20
rack_H05,H,5,row_H,1152,409,55,20
rack_H06,H,6,row_H,1152,440,55,20
rack_H07,H,7,row_H,1152,471,55,20
rack_H08,H,8,row_H,1152,502,55,20
rack_H09,H,9,row_H,1152,533,55,20
rack_H10,H,10,row_H,1152,564,55,20
rack_H11,H,11,row_H,1152,595,55,20
rack_H12,H,12,row_H,1152,626,55,20
rack_H13,H,13,row_H,1152,657,55,20
rack_H14,H,14,row_H,1152,688,55,20
rack_H15,H,15,row_H,1152,719,55,20
rack_H16,H,16,row_H,1152,750,55,20
rack_I01,I,1,row_I,1289,192,55,20
rack_I02,I,2,row_I,1289,223,55,20
rack_I03,I,3,row_I,1289,254,55,20
rack_I04,I,4,row_I,1289,285,55,20
rack_I05,I,5,row_I,1289,316,55,20
rack_I06,I,6,row_I,1289,347,55,20
rack_I07,I,7,row_I,1289,378,55,20
rack_I08,I,8,row_I,1289,409,55,20
rack_I09,I,9,row_I,1289,440,55,20
rack_I10,I,10,row_I,1289,471,55,20
rack_I11,I,11,row_I,1289,502,55,20
rack_I12,I,12,row_I,1289,533,55,20
rack_I13,I,13,row_I,1289,564,55,20
rack_I14,I,14,row_I,1289,595,55,20
rack_I15,I,15,row_I,1289,626,55,20
rack_I16,I,16,row_I,1289,657,55,20
rack_I17,I,17,row_I,1289,688,55,20
rack_I18,I,18,row_I,1289,719,55,20
rack_I19,I,19,row_I,1289,750,55,20
rack_J01,J,1,row_J,1426,192,55,20
rack_J02,J,2,row_J,1426,223,55,20
rack_J03,J,3,row_J,1426,254,55,20
rack_J04,J,4,row_J,1426,285,55,20
rack_J05,J,5,row_J,1426,316,55,20
rack_J06,J,6,row_J,1426,347,55,20
rack_J07,J,7,row_J,1426,378,55,20
rack_J08,J,8,row_J,1426,409,55,20
rack_J09,J,9,row_J,1426,440,55,20
rack_J10,J,10,row_J,1426,471,55,20
rack_J11,J,11,row_J,1426,502,55,20
rack_J12,J,12,row_J,1426,533,55,20
rack_J13,J,13,row_J,1426,564,55,20
rack_J14,J,14,row_J,1426,595,55,20
rack_J15,J,15,row_J,1426,626,55,20
rack_J16,J,16,row_J,1426,657,55,20
rack_J17,J,17,row_J,1426,688,55,20
rack_J18,J,18,row_J,1426,719,55,20
rack_J19,J,19,row_J,1426,750,55,20
rack_K01,K,1,row_K,1563,192,55,20
rack_K02,K,2,row_K,1563,223,55,20
rack_K03,K,3,row_K,1563,254,55,20
rack_K04,K,4,row_K,1563,285,55,20
rack_K05,K,5,row_K,1563,316,55,20
rack_K06,K,6,row_K,1563,347,55,20
rack_K07,K,7,row_K,1563,378,55,20
rack_K08,K,8,row_K,1563,409,55,20
rack_K09,K,9,row_K,1563,440,55,20
rack_K10,K,10,row_K,1563,471,55,20
rack_K11,K,11,row_K,1563,502,55,20
rack_K12,K,12,row_K,1563,533,55,20
rack_K13,K,13,row_K,1563,564,55,20
rack_K14,K,14,row_K,1563,595,55,20
rack_K15,K,15,row_K,1563,626,55,20
rack_K16,K,16,row_K,1563,657,55,20
rack_K17,K,17,row_K,1563,688,55,20
rack_K18,K,18,row_K,1563,719,55,20
rack_K19,K,19,row_K,1563,750,55,20
